Count Station,Street Name,From,To,Latitude,Longitude,Data,Relative_Latitude,Relative_Longitude,Relative_Latitude_miles,Relative_Longitude_miles,Rotated_Longitude_miles,Rotated_Latitude_miles
1389,17th St.,Arctic Ave.,Pacific Ave.,36.844931,-75.976703,5438,0.0029031000000045992,0.00800970000000234,0.20031390000031735,0.4422966849398894,0.47474599479348967,0.1018246358682062
372,19th,Parks Ave.,Baltic Ave.,36.846322,-75.980496,2157,0.004294100000002743,0.004216700000000628,0.29629290000018926,0.23284672726641006,0.2904537109420275,0.24009107186483475
818,21st St.,Baltic Ave.,Arctic Ave.,36.84851319,-75.97942829,12614,0.006485290000000532,0.0052844100000015715,0.4474850100000367,0.2918058135589614,0.3801735564609968,0.3753152461189627
1500,21st St.,Parks Ave.,Cypress Ave,36.847518,-75.985275,11349,0.00549010000000294,-0.0005622999999985723,0.37881690000020285,-0.03105027977839316,0.05009894847602353,0.37677109623971544
819,22nd St.,Arctic Ave.,Baltic Ave.,36.84951768,-75.97958922,10895,0.0074897800000002235,0.00512348000000884,0.5167948200000154,0.2829192378439982,0.3862074627937366,0.44493142932760066
1501,22nd St.,Cypress Ave,Parks Ave.,36.848619,-75.984736,14435,0.006591100000001404,-2.3299999995174403e-05,0.4547859000000969,-0.0012866290568887806,0.09531569368016404,0.4446872932651632
133,24th St.,Barberton Dr.,Parks Ave.,36.850286,-75.986861,3217,0.008258099999999047,-0.0021483000000017682,0.5698088999999342,-0.1186294078750601,0.005073957504255281,0.5820046167232417
1336,25th St,Pacific Ave.,Arctic Ave.,36.853104,-75.978739,2603,0.011076100000003919,0.005973699999998416,0.7642509000002704,0.32986849779941135,0.48463286080221496,0.6767744485589896
349,Arctic Ave.,19th St.,21st St.,36.84786928,-75.97819448,4190,0.005841379999999674,0.006518220000003794,0.4030552199999775,0.35993696364529526,0.43731632442462387,0.31743119027461997
708,Atlantic Ave.,17th St.,Laskin Rd.,36.84602336,-75.97445011,7205,0.0039954599999987295,0.010262589999996408,0.27568673999991233,0.5667015663376087,0.6123189948869951,0.14906137125982175
1430,Baltic Ave.,19th St.,Virginia Beach Blvd.,36.845895,-75.979585,3132,0.0038671000000007894,0.005127700000002733,0.26682990000005447,0.28315226679736033,0.3333555694966342,0.20061771111269633
1483,Cypress Ave,17th St.,19th St.,36.844312,-75.983107,4762,0.00228410000000423,0.001605699999998933,0.15760290000029187,0.08866696468123662,0.12011152769959503,0.13518034482851077
1079,Cypress Ave,19th St.,21st St.,36.84622942,-75.98356962,4195,0.00420152000000229,0.0011430800000056252,0.289904880000158,0.06312102758198547,0.12324228072384844,0.26988968823001724
1429,Mediterranean Ave.,19th St.,Virginia Beach Blvd.,36.845708,-75.981517,4312,0.0036801000000039608,0.0031957000000062408,0.2539269000002733,0.17646697330296415,0.22636340526349844,0.21066340918149742
1175,Mediterranean Ave.,20th St.,21st St.,36.847577,-75.98206,3874,0.005549100000003193,0.002652699999998731,0.3828879000002203,0.14648244205639918,0.22444733927154611,0.3430504943755489
777,Pacific Ave.,17th St.,24th St.,36.84771474,-75.97622037,18722,0.005686840000002746,0.008492330000009929,0.3923919600001895,0.46894757686540883,0.5415765237305876,0.2838629054043889
820,Pacific Ave.,22nd St.,25th St,36.852106,-75.97737,14244,0.0100781000000012,0.007342700000009472,0.6953889000000828,0.4054648574242939,0.5438824506826183,0.5934301582232718
