Latitude,Longitude,Index,Relative_Latitude,Relative_Longitude,Relative_Latitude_miles,Relative_Longitude_miles,Rotated_Longitude_miles,Rotated_Latitude_miles
36.8506,-75.98494,1,0.00857210000000208,-0.00022729999999171469,0.5914749000001436,-0.012551535823207227,0.11333336063349064,0.5806510550659667
36.85352,-75.97659,2,0.011492100000005223,0.00812270000000126,0.7929549000003604,0.44853655976637663,0.6066898295537242,0.6796248741752401
36.85363,-75.97561,3,0.011602100000004612,0.009102699999999686,0.8005449000003182,0.502652288350502,0.6611831211064234,0.6755503980196328
36.85224,-75.9775,4,0.010212100000003943,0.00721269999999663,0.7046349000002721,0.39828624036649535,0.5388309204531314,0.6039896611096106
36.85224,-75.9775,5,0.010212100000003943,0.00721269999999663,0.7046349000002721,0.39828624036649535,0.5388309204531314,0.6039896611096106
36.85224,-75.9775,6,0.010212100000003943,0.00721269999999663,0.7046349000002721,0.39828624036649535,0.5388309204531314,0.6039896611096106
36.85122,-75.98141,7,0.009192099999999925,0.003302700000006098,0.6342548999999948,0.1823755273422529,0.312899186002617,0.5810630004967344
36.85122,-75.98141,8,0.009192099999999925,0.003302700000006098,0.6342548999999948,0.1823755273422529,0.312899186002617,0.5810630004967344
36.85214,-75.97611,9,0.010112100000000623,0.008602699999997299,0.697734900000043,0.4750422227461803,0.6123712076997291,0.5809480252570594
36.84997,-75.98269,10,0.007942100000001062,0.0020226999999977124,0.5480049000000733,0.11169375939506362,0.2255143475846419,0.5117891610276306
36.85095,-75.97714,11,0.008922099999999489,0.007572699999997212,0.6156248999999647,0.41816548760154426,0.5393556869924271,0.5127882949423971
36.85107,-75.97646,12,0.009042100000002051,0.00825269999999989,0.6239049000001415,0.45571517682339047,0.577807263566706,0.5129058517904781
36.85118,-75.97586,13,0.00915210000000144,0.008852700000005598,0.6314949000000993,0.48884725554873354,0.6117954571289074,0.5132872164978352
36.84999,-75.97688,14,0.007962100000000305,0.007832700000008685,0.549384900000021,0.4325227217163566,0.5393195442636423,0.44501022721305544
36.84999,-75.97688,15,0.007962100000000305,0.007832700000008685,0.549384900000021,0.4325227217163566,0.5393195442636423,0.44501022721305544
36.85038,-75.97563,16,0.008352100000003304,0.009082700000007549,0.576294900000228,0.5015478857267686,0.6124848153103474,0.4566491480967792
36.85035,-75.97469,17,0.008322100000000887,0.01002270000000749,0.5742249000000612,0.5534548090626424,0.6627683916138597,0.4436040132057237
36.85035,-75.97469,18,0.008322100000000887,0.01002270000000749,0.5742249000000612,0.5534548090626424,0.6627683916138597,0.4436040132057237
36.85022,-75.97559,19,0.008192100000002256,0.009122700000006034,0.5652549000001557,0.5037566909750202,0.6122989222413925,0.44539188979854266
36.8487,-75.97844,20,0.006672100000002956,0.006272699999996689,0.460374900000204,0.3463793170306215,0.43623960516417926,0.37632258330187757
36.8487,-75.97844,21,0.006672100000002956,0.006272699999996689,0.460374900000204,0.3463793170306215,0.43623960516417926,0.37632258330187757
36.8487,-75.97844,22,0.006672100000002956,0.006272699999996689,0.460374900000204,0.3463793170306215,0.43623960516417926,0.37632258330187757
36.8487,-75.97844,23,0.006672100000002956,0.006272699999996689,0.460374900000204,0.3463793170306215,0.43623960516417926,0.37632258330187757
36.84895,-75.97703,24,0.00692210000000415,0.007682700000003706,0.47762490000028635,0.42423970203482464,0.5159873177993667,0.3766456660484701
36.84933,-75.97668,25,0.007302100000003975,0.008032700000001114,0.5038449000002743,0.4435667479576144,0.5404413628007781,0.3981636303381034
36.84933,-75.97668,26,0.007302100000003975,0.008032700000001114,0.5038449000002743,0.4435667479576144,0.5404413628007781,0.3981636303381034
36.84947,-75.97539,27,0.007442099999998675,0.009322699999998463,0.5135048999999086,0.5148007172162781,0.6121020582829922,0.392476917813054
36.8462,-75.98561,28,0.00417210000000523,-0.000897299999991219,0.28787490000036087,-0.049549023732794364,0.012710713229772233,0.2918312895703291
36.8462,-75.98561,29,0.00417210000000523,-0.000897299999991219,0.28787490000036087,-0.049549023732794364,0.012710713229772233,0.2918312895703291
36.84709,-75.98189,30,0.005062100000003511,0.002822699999995848,0.34928490000024226,0.15586986436166456,0.2264851350800604,0.3082204398998706
36.84839,-75.97509,31,0.006362100000004034,0.009622700000008422,0.43898490000027834,0.531366756579342,0.6124661035944144,0.31613864739031844
36.84833,-75.97468,32,0.0063020999999992,0.010032699999996453,0.4348448999999448,0.5540070103741168,0.6337109034465649,0.3072854462101439
36.84811,-75.97501,33,0.006082100000000423,0.009702700000005393,0.4196649000000292,0.5357843670758451,0.6126803985655623,0.2963211863982089
36.84767,-75.97489,34,0.00564210000000287,0.00982270000000085,0.389304900000198,0.5424107828205998,0.6127088004678596,0.265246467108342
